benchmark_id,solver_name,problem_name,problem_type,solve_time,status,objective_value,iterations,duality_gap,timestamp
8,scipy,portfolio_optimization,SOCP,3.314018249511719e-05,error,,,,
8,scipy,robust_optimization,SOCP,8.20159912109375e-05,error,,,,
8,scipy,simple_lp,Unknown,0.0001518726348876953,error,,,,
8,scipy,simple_qp,Unknown,5.1975250244140625e-05,error,,,,
7,SciPy,SIMPLE_LP,LP,0.0010428428649902344,optimal,0.0,0,,
7,SciPy,SIMPLE_QP,QP,0.010107040405273438,optimal,5.135527253823579e-06,21,,
7,SciPy,control_lmi,SDP,2.193450927734375e-05,error,,,,
7,SciPy,facility_location,SOCP,1.9788742065429688e-05,error,,,,
7,SciPy,matrix_completion,SDP,2.002716064453125e-05,error,,,,
7,SciPy,max_cut_relaxation,SDP,2.002716064453125e-05,error,,,,
7,SciPy,portfolio_optimization,SOCP,2.9802322387695312e-05,error,,,,
7,SciPy,robust_optimization,SOCP,2.3126602172851562e-05,error,,,,
6,SciPy,SIMPLE_LP,LP,0.004111051559448242,optimal,0.0,0,,
5,SciPy,SIMPLE_LP,LP,0.006342887878417969,optimal,0.0,0,,
4,CLARABEL-Enhanced,SIMPLE_LP,LP,0.00396728515625,optimal,5.982995652060769e-10,6,,
4,SciPy-Enhanced,SIMPLE_LP,LP,0.0011219978332519531,optimal,0.0,0,,
3,CLARABEL (via CVXPY),SIMPLE_LP,LP,0.007927894592285156,optimal,5.982995652060769e-10,6,,
3,SciPy,SIMPLE_LP,LP,0.0034897327423095703,optimal,0.0,0,,
2,TestSolver,TestProblem,Unknown,1.234,optimal,42.0,10,0.001,
